#Datenpunkte Wolf ISM8i für Firmware 1.4
#
1;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Störung;DPT_Switch;Out/-;-
2;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Betriebsart;DPT_HVACContrMode;Out/-;-
3;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Modulationsgrad / Brennerleistung;DPT_Scaling;Out/-;%
4;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Kesseltemperatur;DPT_Value_Temp;Out/-;°C
5;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Sammlertemperatur;DPT_Value_Temp;Out/-;°C
6;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Rücklauftemperatur;DPT_Value_Temp;Out/-;°C
7;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Warmwassertemperatur;DPT_Value_Temp;Out/-;°C
8;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Außentemperatur;DPT_Value_Temp;Out/-;°C
9;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Status Brenner / Flamme;DPT_Switch;Out/-;-
10;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Status Heizkreispumpe;DPT_Switch;Out/-;-
11;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Status Speicherladepumpe;DPT_Switch;Out/-;-
12;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Status 3-Wege-Umschaltventil;DPT_OpenClose;Out/-;-
13;Heizgerät 1 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Anlagendruck;DPT_Value_Pres;Out/-;Pa
#
14;Heizgerät 2 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Störung;DPT_Switch;Out/-;-
15;Heizgerät 2 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Betriebsart;DPT_HVACContrMode;Out/-;-
16;Heizgerät 2 (TOB,CGB-2,MGK-2,COB-2,TGB-2);Modulationsgrad / Brennerleistung;DPT_Scaling;Out/-;%
